	Primates	lactamase	Hominoidea	Cercopithecoidea	Platyrrhini	np	Simiiformes	Catarrhini
at_over_gc	1.0754791567430602	0.7916098500040106	1.097739696816966	1.0963381402896422	1.098479390239278	1.1543933858873294	1.0973744760421809	1.096734895461779
at_over_gc_1	0.9964772260104052	0.5833274261005175	1.0075162852847837	1.0001095746312814	1.0090158799335385	1.057237279966952	1.0046956781815464	1.0022015347842497
at_over_gc_2	1.4260416666666669	1.1772102544107612	1.4389155567574876	1.4402843475239853	1.44353930723889	1.2209008473316485	1.4412314338413743	1.4398965715380196
at_over_gc_3	0.8783558612599642	0.7135404679708477	0.9158436869491344	0.9181829642391898	0.9134887097192336	1.1922766514221428	0.916038894867668	0.9175197205997472
NbrSites	5300.0	263.0	5300.0	5300.0	5300.0	498.0	5300.0	5300.0
NbrTaxa	61.0	85.0	7.0	18.0	15.0	180.0	40.0	25.0
site_diversity_aa	1.280226487914897	1.3650961512366249	1.0553325629111268	1.0677943818353028	1.1387249323832185	1.0958760708552848	1.1407494637339777	1.0818011488026351
diversity_aa	14.152475401825185	16.690840739135133	17.316592008160473	16.813551135987606	15.83680922419305	17.710188606179738	16.528712669324882	16.95377056295909
lambda_obs_MG	1.0732137787878313	0.8103731944814971	1.0953470678106974	1.1083012416296845	1.1187959236548015	1.3528107079263996	1.135547576146256	1.1099191739050949
lambda_MG	1.137476905018214	0.8559081643163173	1.1621039396654969	1.1758536783410425	1.1869054717820628	1.4461032962841616	1.2047802673049826	1.1776055375346552
AIC_MG	174908.0641883852	7631.912039040741	51160.746069659006	57571.584190329006	74152.8533269044	19826.082779262557	102845.485732424	67596.1350037956
w_MG	0.271478912856751	0.3314662951629893	0.3677325586192706	0.3154697301170406	0.3328873066377057	0.1138417758152648	0.3256899688426566	0.3286853652062033
lambda_obs_MF	1.1000759228996764	0.8321195284226008	1.0975294949618648	1.1118829016223104	1.1264629693138044	1.2410545935177704	1.144683874463865	1.1154833109616604
lambda_MF	1.0220997977454491	0.6888284322222737	0.993456598700432	1.0211350242189394	1.0539892188671902	1.7454152170011552	1.10686976616761	1.0373632260357049
AIC_MF	173814.6604715486	7595.0282486637	50790.8793572234	57211.97764845059	73664.6271512044	19660.30173944476	102260.10443725699	67192.68101518741
w_MF	0.2725432196041813	0.33598109710363205	0.37769053485808224	0.3178344285775853	0.3429311510961853	0.11562485889744792	0.3318441900543898	0.3350484786059417
w_WS_MF	0.2541334660060711	0.2954764423968992	0.32338030917399024	0.2918916620324273	0.3019748170285706	0.14114015739280442	0.30257385761494976	0.3042130505564932
w_WW_MF	0.2782460468535293	0.3514280355442387	0.4590315319090221	0.3678971127586855	0.4507664596401354	0.1002624281089576	0.4118272771426027	0.3650594126946721
w_SS_MF	0.2357200258696785	0.29333144014690765	0.4529062395084758	0.2534469242255255	0.3750775287501963	1.0028841171679654	0.34281062396991485	0.3241305813327945
w_SW_MF	0.3076214209303884	0.4120634891530811	0.4085952461126982	0.36328774437050987	0.3621014320626176	0.09200463632247836	0.3469657621066882	0.36995504042673105
lambda_obs_GTR	0.7815345522454774	0.6894077955978059	0.866502546282234	0.8940326896149213	0.8812145963751462	1.3699183762934943	0.9014730976389134	0.8864744885313953
lambda_GTR	0.8215459644232991	0.7213509253490803	0.909531522222466	0.9392055001663316	0.9261147338641276	1.4592804469341218	0.9480264061757329	0.9314352066216496
AIC_GTR	51702.2732424182	1297.664613371232	17584.56536944402	20246.6428792456	24809.9813011944	9847.83509405024	33359.2931894204	23651.8163543056
